date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:06	23581/23581	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jul%202024%2008:49:06%20GMT	https://etiennefontanille.itch.io/lotus-knight	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/etiennefontanille.itch.io/lotus-knight.html	(from )
11:49:07	190/190	---M--	200	added ('OK')	text/plain	etag:%225cd233aa-be%22	https://etiennefontanille.itch.io/robots.txt		(from )
11:49:07	41345/41345	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Jul%202024%2008:49:07%20GMT	https://img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/original/GzpbW1.jpg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/original/GzpbW1.jpg	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:07	1038/1038	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Jul%202024%2008:49:07%20GMT	https://img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/32x32%23/kLLbPV.jpg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/32x32#/kLLbPV.jpg	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:08	45812/45812	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Jul%202024%2008:49:08%20GMT	https://img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/508x254%23mb/TiFatx.jpg	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/img.itch.zone/aW1nLzE2ODY4NjA4LmpwZw==/508x254#mb/TiFatx.jpg	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:08	155317/155317	---MCZ	200	added ('OK')	text/css	etag:W/%22667dd82a-25eb5%22	https://static.itch.io/game.css?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/game5c2b.css	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:08	127414/127414	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266299c5b-1f1b6%22	https://static.itch.io/lib.min.js?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/lib.min5c2b.js	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:08	114455/114455	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266845f08-1bf17%22	https://static.itch.io/bundle.min.js?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/bundle.min5c2b.js	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:09	23081/23081	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260414303-5a29%22	https://static.itch.io/lib/jquery.maskMoney.js	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/lib/jquery.maskMoney.js	(from https://etiennefontanille.itch.io/lotus-knight)
11:49:09	212049/212049	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22668c3572-33c51%22	https://static.itch.io/game.min.js?1720466429	C:/Benim%20Web%20Sitem/https___etiennefontanille.itch.io_lotus-knight/static.itch.io/game.min5c2b.js	(from https://etiennefontanille.itch.io/lotus-knight)
